ID;FFECHA;Mora30;Mora60;MoraMax_UltimoSemestre;Experiencia;PersonasCargo;GastosFamiliares;GastoArriendo;TiempoActividad;OCUPACION;TIPCONTRATO;Edad;Estado_Civil;Genero;Ingresos;Nivel_Academico;Tipo_Vivienda;TiempoCliente;Tiempo_SistemaFro;PORCEND;Obligaciones_SistemaFro
910;201712;0;0;0;1;1;6160;0;1;EMPLEADO;TÉRMINO INDEFINIDO;50;SOLTERO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;7;7;0,974025974;1
911;201712;0;0;0;1;0;7368,35;200000;1;JUBILADOS/PENSIONADO;OTROS;55;SOLTERO;FEMENINO;10997,53731;TECNÓLOGO;ALQUILADA;11;255;0,407146783;0
912;201703;0;0;0;0;0;6160;0;0;JUBILADOS/PENSIONADO;OTROS;65;VIUDO;MASCULINO;9194,029851;BACHILLER;PROPIA;0;0;0,487012987;0
913;201706;0;0;17;1;0;6307,33;0;28;JUBILADOS/PENSIONADO;OTROS;65;CASADO;FEMENINO;9413,925373;BACHILLER;PROPIA;19;74;0,951274153;1
914;201711;1;0;47;0;0;6160;0;5;JUBILADOS/PENSIONADO;TÉRMINO INDEFINIDO;64;SOLTERO;FEMENINO;9194,029851;TECNÓLOGO;FAMILIAR;2;2;0,974025974;1
915;201704;0;0;17;0;0;6160;0;5;JUBILADOS/PENSIONADO;OTROS;62;VIUDO;FEMENINO;9194,029851;TECNÓLOGO;PROPIA;0;0;0,487012987;0
916;201704;0;0;29;0;0;7580;0;2;EMPLEADO;TÉRMINO INDEFINIDO;60;SOLTERO;FEMENINO;11313,43284;UNIVERSITARIO;FAMILIAR;0;0;0,527704486;0
917;201709;1;1;139;1;0;6480;0;10;EMPLEADO;TÉRMINO INDEFINIDO;58;OTROS;FEMENINO;9671,641791;TECNÓLOGO;FAMILIAR;4;59;0,771604938;1
918;201704;0;0;0;0;0;9341,21;0;2;JUBILADOS/PENSIONADO;OTROS;59;SOLTERO;FEMENINO;13942,10448;TECNÓLOGO;FAMILIAR;42;139;0,535262562;0
919;201711;1;1;76;0;0;6160;0;1;EMPLEADO;TÉRMINO INDEFINIDO;59;SOLTERO;FEMENINO;9194,029851;BACHILLER;ALQUILADA;0;0;0,487012987;0
